id,first_name,last_name,email,username,ticket_number,purchase_timestamp,payment_method,raffle_name,status
32,Patrick,Coffey,benjaminsmith@shaffer.org,bmartin,RFL-1031,2025-04-13 18:48:03,PayPal,Spring Raffle,Cancelled
33,Jasmine,Williams,smithjustin@patterson.biz,timothy64,RFL-1032,2025-05-09 19:16:03,Stripe,Spring Raffle,Cancelled
34,Dawn,Coleman,michele29@gmail.com,todd22,RFL-1033,2025-04-14 17:11:03,Stripe,Summer Bonanza,Cancelled
35,Shelley,Hernandez,griffinjeffrey@weeks-anderson.info,ajones,RFL-1034,2025-04-20 05:09:03,Credit Card,Summer Bonanza,Confirmed
36,Paul,Jackson,zimmermanhannah@gmail.com,carolcochran,RFL-1035,2025-05-08 09:56:03,Credit Card,Summer Bonanza,Pending
37,Jesse,Wolfe,qlewis@green.biz,davidbarber,RFL-1036,2025-05-10 14:00:03,Stripe,Winter Giveaway,Confirmed
38,David,Morris,seanortiz@gmail.com,paullittle,RFL-1037,2025-04-17 08:29:03,PayPal,Winter Giveaway,Cancelled
39,Dawn,Coleman,michele29@gmail.com,todd22,RFL-1038,2025-05-05 09:40:03,Stripe,Spring Raffle,Cancelled
40,Paul,Horn,alexander64@gmail.com,walexander,RFL-1039,2025-04-14 21:22:03,Credit Card,Spring Raffle,Pending
41,David,Dominguez,tjones@lopez.com,smithlisa,RFL-1040,2025-04-24 07:59:03,Credit Card,Summer Bonanza,Pending
42,Micheal,Johnson,tferguson@morales-richard.org,randy01,RFL-1041,2025-04-14 10:59:03,PayPal,Winter Giveaway,Cancelled
43,Alexandria,Blackwell,eanderson@hotmail.com,danielsteven,RFL-1042,2025-04-30 11:21:03,Credit Card,Winter Giveaway,Cancelled
44,Derek,Little,jensenbrian@hayes.com,mmiller,RFL-1043,2025-04-30 15:55:03,PayPal,Summer Bonanza,Pending
45,Russell,Brown,fjensen@hopkins.biz,rita07,RFL-1044,2025-04-13 15:49:03,PayPal,Spring Raffle,Pending
46,Brianna,Jackson,jeffrey33@hotmail.com,simpsontheresa,RFL-1045,2025-04-22 21:29:03,Stripe,Winter Giveaway,Confirmed
47,Crystal,Rios,cruzmegan@yahoo.com,johnadkins,RFL-1046,2025-04-16 09:21:03,Credit Card,Spring Raffle,Cancelled
48,Rebecca,Walsh,douglas12@turner-schmidt.com,fosterrobin,RFL-1047,2025-04-26 19:40:03,PayPal,Winter Giveaway,Cancelled
49,Danielle,Jackson,ibennett@beck-martin.org,april80,RFL-1048,2025-05-05 17:38:03,Stripe,Spring Raffle,Pending
50,David,Jones,jeffery56@gmail.com,ericdavidson,RFL-1049,2025-04-28 13:02:03,PayPal,Winter Giveaway,Pending
51,Randy,Patterson,rhonda14@smith.com,susanbryan,RFL-1050,2025-04-12 19:08:03,PayPal,Spring Raffle,Cancelled
52,David,Dominguez,tjones@lopez.com,smithlisa,RFL-1051,2025-05-01 20:49:03,PayPal,Spring Raffle,Cancelled
53,Rebecca,George,kelly72@yahoo.com,bellderrick,RFL-1052,2025-04-26 18:29:03,PayPal,Spring Raffle,Confirmed
54,Joseph,Adkins,matthewmccormick@turner.biz,sthompson,RFL-1053,2025-05-11 06:37:03,Credit Card,Winter Giveaway,Confirmed
55,William,Anderson,wesley95@gmail.com,gdodson,RFL-1054,2025-04-19 03:24:03,PayPal,Spring Raffle,Pending
56,Joseph,Price,marievargas@yahoo.com,tcantrell,RFL-1055,2025-04-15 23:00:03,Stripe,Winter Giveaway,Pending
57,Stephanie,Diaz,toddrichard@willis.com,richard55,RFL-1056,2025-04-12 08:43:03,Credit Card,Winter Giveaway,Pending
58,Johnathan,Jackson,williamcross@lang.info,jillianschroeder,RFL-1057,2025-04-27 16:43:03,Credit Card,Spring Raffle,Cancelled
59,Shelby,Hall,shawn91@wright.biz,mariohart,RFL-1058,2025-04-24 22:18:03,Stripe,Winter Giveaway,Cancelled
60,Beth,Thornton,lscott@matthews.com,martinezsamantha,RFL-1059,2025-04-25 20:19:03,PayPal,Spring Raffle,Confirmed
61,Miguel,Nelson,courtneylowe@whitehead.com,omar28,RFL-1060,2025-04-11 20:21:03,Stripe,Winter Giveaway,Confirmed
62,Stephanie,Rosario,heather36@yahoo.com,johngarner,RFL-1061,2025-04-13 17:04:03,Credit Card,Winter Giveaway,Confirmed
63,Kristine,Murphy,susan43@yahoo.com,tina43,RFL-1062,2025-05-02 04:36:03,PayPal,Spring Raffle,Cancelled
64,Dawn,Coleman,michele29@gmail.com,todd22,RFL-1063,2025-04-13 13:52:03,Credit Card,Spring Raffle,Cancelled
65,James,Smith,ggentry@gmail.com,isaacchristensen,RFL-1064,2025-04-23 14:23:03,Credit Card,Summer Bonanza,Confirmed
66,Guy,Sanders,arthurdowns@hotmail.com,cgoodman,RFL-1065,2025-04-17 17:21:03,Stripe,Summer Bonanza,Confirmed
67,Alexa,Simpson,laurenrice@fitzgerald.com,millsadam,RFL-1066,2025-05-08 22:04:03,Stripe,Winter Giveaway,Confirmed
68,Jennifer,Smith,wilsonbrianna@gmail.com,dphillips,RFL-1067,2025-05-07 11:02:03,Stripe,Winter Giveaway,Pending
69,Kristine,Murphy,susan43@yahoo.com,tina43,RFL-1068,2025-05-10 05:44:03,Credit Card,Summer Bonanza,Pending
70,Micheal,Johnson,tferguson@morales-richard.org,randy01,RFL-1069,2025-05-07 12:31:03,Credit Card,Winter Giveaway,Cancelled
71,Rebecca,Vasquez,frenchbradley@vasquez.info,stanleymatthew,RFL-1070,2025-05-10 15:23:03,Stripe,Winter Giveaway,Cancelled
72,Katherine,Greene,robertsdiane@padilla.org,xmedina,RFL-1071,2025-05-10 18:48:03,Credit Card,Spring Raffle,Confirmed
73,Brandi,Davis,bcoffey@gmail.com,ucastro,RFL-1072,2025-04-19 01:29:03,Credit Card,Spring Raffle,Confirmed
74,Ryan,Lopez,flynnsheila@yahoo.com,lutzstephanie,RFL-1073,2025-05-01 15:09:03,Credit Card,Spring Raffle,Pending
75,Jasmine,Williams,smithjustin@patterson.biz,timothy64,RFL-1074,2025-05-11 15:29:03,PayPal,Summer Bonanza,Confirmed
76,Randy,Patterson,rhonda14@smith.com,susanbryan,RFL-1075,2025-05-09 10:22:03,PayPal,Winter Giveaway,Pending
77,Pamela,Pierce,canderson@russell-johnson.com,ccarpenter,RFL-1076,2025-04-20 00:09:03,Credit Card,Winter Giveaway,Confirmed
78,Ryan,Lopez,flynnsheila@yahoo.com,lutzstephanie,RFL-1077,2025-05-03 11:36:03,PayPal,Winter Giveaway,Cancelled
79,Beth,Thornton,lscott@matthews.com,martinezsamantha,RFL-1078,2025-04-17 01:32:03,Stripe,Summer Bonanza,Cancelled
80,Luke,Davis,browndavid@yahoo.com,burnettmichael,RFL-1079,2025-04-13 02:25:03,Stripe,Winter Giveaway,Cancelled
81,Tricia,Wilson,douglasronald@reeves-kim.info,wardmargaret,RFL-1080,2025-04-21 16:09:03,Stripe,Spring Raffle,Confirmed
82,Taylor,Johnson,robert76@lewis.org,ocurtis,RFL-1081,2025-04-20 21:01:03,Stripe,Spring Raffle,Cancelled
83,Richard,Harmon,ibrown@murphy.com,miranda33,RFL-1082,2025-04-26 10:37:03,Stripe,Winter Giveaway,Pending
84,Cassandra,Swanson,chelseagraves@hotmail.com,leslie40,RFL-1083,2025-04-18 21:28:03,PayPal,Spring Raffle,Cancelled
85,Shannon,Thompson,wilsonjacqueline@hotmail.com,jennifer49,RFL-1084,2025-04-13 22:33:03,PayPal,Spring Raffle,Pending
86,Steven,Fields,josephsparks@bird.com,rodriguezsavannah,RFL-1085,2025-05-02 17:42:03,PayPal,Summer Bonanza,Pending
87,Micheal,Johnson,tferguson@morales-richard.org,randy01,RFL-1086,2025-04-30 14:06:03,Credit Card,Summer Bonanza,Confirmed
88,Matthew,George,ubonilla@gmail.com,nmcintyre,RFL-1087,2025-04-12 04:34:03,Credit Card,Summer Bonanza,Pending
89,Lisa,Gould,jimenezsabrina@yahoo.com,brewertaylor,RFL-1088,2025-05-06 15:22:03,PayPal,Winter Giveaway,Confirmed
90,Laura,Patel,kimberlymeyer@gmail.com,oanderson,RFL-1089,2025-04-28 22:50:03,Credit Card,Summer Bonanza,Confirmed
91,Derek,Little,jensenbrian@hayes.com,mmiller,RFL-1090,2025-04-20 13:58:03,PayPal,Summer Bonanza,Pending
92,Matthew,George,ubonilla@gmail.com,nmcintyre,RFL-1091,2025-04-23 07:16:03,Stripe,Summer Bonanza,Cancelled
93,John,Solis,bankspeter@molina-thomas.com,kimberly57,RFL-1092,2025-04-12 13:58:03,PayPal,Spring Raffle,Pending
94,David,Morris,seanortiz@gmail.com,paullittle,RFL-1093,2025-04-15 11:43:03,Credit Card,Winter Giveaway,Cancelled
95,Erik,Miller,robertkelly@tyler.com,johnstonronald,RFL-1094,2025-04-26 23:12:03,Credit Card,Spring Raffle,Confirmed
96,Robert,Tran,peterevans@yahoo.com,fritzlorraine,RFL-1095,2025-04-16 17:22:03,Credit Card,Spring Raffle,Confirmed
97,Danielle,Davis,jeffreysolis@yahoo.com,gabrielabaldwin,RFL-1096,2025-05-01 16:22:03,Credit Card,Summer Bonanza,Cancelled
98,Savannah,Dominguez,karagomez@hotmail.com,elizabeth53,RFL-1097,2025-04-21 23:19:03,Stripe,Spring Raffle,Pending
99,Savannah,Dominguez,karagomez@hotmail.com,elizabeth53,RFL-1098,2025-04-19 04:42:03,PayPal,Spring Raffle,Pending
100,Laura,Patel,kimberlymeyer@gmail.com,oanderson,RFL-1099,2025-04-30 06:16:03,PayPal,Spring Raffle,Cancelled
101,Miguel,Nelson,courtneylowe@whitehead.com,omar28,RFL-1100,2025-05-06 21:25:03,Stripe,Spring Raffle,Cancelled
102,Cassandra,Swanson,chelseagraves@hotmail.com,leslie40,RFL-1101,2025-05-10 02:27:03,PayPal,Summer Bonanza,Cancelled
103,Rebecca,Vasquez,frenchbradley@vasquez.info,stanleymatthew,RFL-1102,2025-05-07 07:12:03,Credit Card,Summer Bonanza,Pending
104,Donna,White,mcarey@wright.org,molly77,RFL-1103,2025-04-29 07:09:03,Credit Card,Summer Bonanza,Cancelled
105,Robert,Reynolds,adriancollins@huffman-rivas.com,wrightamber,RFL-1104,2025-05-03 19:08:03,Stripe,Winter Giveaway,Confirmed
106,Katherine,Greene,robertsdiane@padilla.org,xmedina,RFL-1105,2025-05-08 21:09:03,Credit Card,Spring Raffle,Cancelled
107,Jeffrey,Brown,mcdowelltara@lewis.com,carmen59,RFL-1106,2025-05-03 11:12:03,Credit Card,Summer Bonanza,Pending
108,Erik,Sloan,jonesteresa@hotmail.com,cynthia08,RFL-1107,2025-04-17 23:54:03,Stripe,Winter Giveaway,Pending
109,Brandi,Davis,bcoffey@gmail.com,ucastro,RFL-1108,2025-05-01 22:42:03,PayPal,Winter Giveaway,Pending
110,Rachel,Klein,veronica37@gross.net,kennethhancock,RFL-1109,2025-04-15 13:17:03,Credit Card,Summer Bonanza,Cancelled
111,Christopher,Smith,uweaver@yahoo.com,alexandrajoseph,RFL-1110,2025-04-12 04:41:03,Credit Card,Summer Bonanza,Cancelled
112,Crystal,Rios,cruzmegan@yahoo.com,johnadkins,RFL-1111,2025-04-24 23:02:03,PayPal,Summer Bonanza,Cancelled
113,Mark,Blackwell,erica63@yahoo.com,cassandradiaz,RFL-1112,2025-05-07 14:19:03,PayPal,Winter Giveaway,Pending
114,Ryan,Lopez,flynnsheila@yahoo.com,lutzstephanie,RFL-1113,2025-05-11 00:50:03,PayPal,Spring Raffle,Confirmed
115,Kristin,Mcgee,sergio44@lucero.org,erinreed,RFL-1114,2025-04-16 18:45:03,Credit Card,Spring Raffle,Pending
116,Margaret,Smith,jamespeterson@montgomery-garcia.com,kylesmith,RFL-1115,2025-04-14 03:48:03,PayPal,Summer Bonanza,Confirmed
117,Rachel,Klein,veronica37@gross.net,kennethhancock,RFL-1116,2025-05-10 00:00:03,PayPal,Winter Giveaway,Cancelled
118,Ryan,Lopez,flynnsheila@yahoo.com,lutzstephanie,RFL-1117,2025-04-22 06:09:03,Credit Card,Spring Raffle,Cancelled
119,Derek,Little,jensenbrian@hayes.com,mmiller,RFL-1118,2025-04-22 01:42:03,Credit Card,Summer Bonanza,Pending
120,Miguel,Nelson,courtneylowe@whitehead.com,omar28,RFL-1119,2025-04-24 11:15:03,Credit Card,Winter Giveaway,Confirmed
121,Robert,Chavez,marydixon@vaughn.info,oburns,RFL-1120,2025-04-11 21:02:03,Credit Card,Spring Raffle,Cancelled
122,Paul,Horn,alexander64@gmail.com,walexander,RFL-1121,2025-05-06 17:56:03,PayPal,Summer Bonanza,Cancelled
123,Pamela,Pierce,canderson@russell-johnson.com,ccarpenter,RFL-1122,2025-04-15 00:24:03,PayPal,Summer Bonanza,Confirmed
124,Shannon,Thompson,wilsonjacqueline@hotmail.com,jennifer49,RFL-1123,2025-04-30 15:55:03,PayPal,Summer Bonanza,Confirmed
125,Mark,Blackwell,erica63@yahoo.com,cassandradiaz,RFL-1124,2025-04-23 06:13:03,Stripe,Winter Giveaway,Confirmed
126,Rebecca,George,kelly72@yahoo.com,bellderrick,RFL-1125,2025-04-12 01:55:03,Credit Card,Winter Giveaway,Pending
127,Patrick,Coffey,benjaminsmith@shaffer.org,bmartin,RFL-1126,2025-05-06 00:43:03,PayPal,Summer Bonanza,Confirmed
128,Rachel,Klein,veronica37@gross.net,kennethhancock,RFL-1127,2025-04-14 16:02:03,PayPal,Spring Raffle,Cancelled
129,Richard,Kramer,davidlewis@yahoo.com,davidsonkrista,RFL-1128,2025-04-28 08:29:03,Stripe,Summer Bonanza,Cancelled
130,William,Anderson,wesley95@gmail.com,gdodson,RFL-1129,2025-05-07 02:41:03,PayPal,Summer Bonanza,Confirmed
131,Rachel,Klein,veronica37@gross.net,kennethhancock,RFL-1130,2025-04-20 11:27:03,Stripe,Spring Raffle,Pending
132,Chad,Howe,harveyjames@peterson-mckinney.com,torresmichaela,RFL-1131,2025-04-24 21:55:03,Credit Card,Winter Giveaway,Pending
133,David,Morris,seanortiz@gmail.com,paullittle,RFL-1132,2025-05-04 22:01:03,PayPal,Spring Raffle,Cancelled
134,Brianna,Jackson,jeffrey33@hotmail.com,simpsontheresa,RFL-1133,2025-04-18 12:26:03,Credit Card,Summer Bonanza,Pending
135,Rebecca,George,kelly72@yahoo.com,bellderrick,RFL-1134,2025-04-23 23:07:03,PayPal,Spring Raffle,Confirmed
136,John,Solis,bankspeter@molina-thomas.com,kimberly57,RFL-1135,2025-04-14 09:06:03,PayPal,Winter Giveaway,Cancelled
137,Richard,Harmon,ibrown@murphy.com,miranda33,RFL-1136,2025-05-11 11:47:03,Stripe,Spring Raffle,Confirmed
138,Brandi,Bennett,judithhernandez@miller.net,lprince,RFL-1137,2025-05-01 04:10:03,PayPal,Spring Raffle,Confirmed
139,Veronica,Roth,fmorales@hotmail.com,kristenharrell,RFL-1138,2025-04-22 22:37:03,Stripe,Summer Bonanza,Pending
140,George,Williams,david09@yahoo.com,leeashlee,RFL-1139,2025-04-20 09:18:03,Stripe,Winter Giveaway,Confirmed
141,Erik,Miller,robertkelly@tyler.com,johnstonronald,RFL-1140,2025-05-09 11:27:03,PayPal,Spring Raffle,Pending
142,John,Solis,bankspeter@molina-thomas.com,kimberly57,RFL-1141,2025-04-28 13:55:03,Stripe,Spring Raffle,Cancelled
143,George,Williams,david09@yahoo.com,leeashlee,RFL-1142,2025-05-03 10:21:03,Credit Card,Spring Raffle,Confirmed
144,Richard,Kramer,davidlewis@yahoo.com,davidsonkrista,RFL-1143,2025-04-21 17:51:03,PayPal,Winter Giveaway,Confirmed
145,Lisa,Gould,jimenezsabrina@yahoo.com,brewertaylor,RFL-1144,2025-04-24 01:41:03,Stripe,Winter Giveaway,Confirmed
146,Rebecca,George,kelly72@yahoo.com,bellderrick,RFL-1145,2025-04-18 07:08:03,PayPal,Summer Bonanza,Confirmed
147,John,Solis,bankspeter@molina-thomas.com,kimberly57,RFL-1146,2025-04-15 11:20:03,PayPal,Summer Bonanza,Confirmed
148,Keith,Freeman,oscarlewis@rodriguez-morgan.com,rodriguezsabrina,RFL-1147,2025-04-27 16:42:03,PayPal,Summer Bonanza,Pending
149,Alexa,Simpson,laurenrice@fitzgerald.com,millsadam,RFL-1148,2025-05-09 11:55:03,Credit Card,Winter Giveaway,Cancelled
150,Robert,Reynolds,adriancollins@huffman-rivas.com,wrightamber,RFL-1149,2025-04-30 20:01:03,Stripe,Spring Raffle,Pending
151,Todd,Miranda,waltersantana@stone-wood.biz,jacksongary,RFL-1150,2025-05-09 13:48:03,PayPal,Spring Raffle,Cancelled
152,Troy,Boyer,nicholasbrown@garcia.com,yenglish,RFL-1151,2025-04-18 09:29:03,PayPal,Spring Raffle,Pending
153,Taylor,Johnson,robert76@lewis.org,ocurtis,RFL-1152,2025-04-29 21:52:03,Stripe,Winter Giveaway,Confirmed
154,Guy,Sanders,arthurdowns@hotmail.com,cgoodman,RFL-1153,2025-04-23 18:50:03,Stripe,Summer Bonanza,Confirmed
155,Joseph,Price,marievargas@yahoo.com,tcantrell,RFL-1154,2025-05-06 15:26:03,Credit Card,Winter Giveaway,Pending
156,Shelby,Hall,shawn91@wright.biz,mariohart,RFL-1155,2025-04-25 08:20:03,Credit Card,Spring Raffle,Pending
157,Jason,Torres,kevin87@sims-campbell.com,kellyamy,RFL-1156,2025-04-26 09:19:03,Stripe,Summer Bonanza,Cancelled
158,Kevin,Schmidt,vwalton@ryan.info,jamiesimmons,RFL-1157,2025-04-12 16:17:03,PayPal,Summer Bonanza,Confirmed
159,Amanda,Schmidt,maryrhodes@combs.com,llee,RFL-1158,2025-04-14 11:00:03,Credit Card,Spring Raffle,Pending
160,Brandi,Bennett,judithhernandez@miller.net,lprince,RFL-1159,2025-04-24 05:32:03,Stripe,Summer Bonanza,Confirmed
161,Micheal,Johnson,tferguson@morales-richard.org,randy01,RFL-1160,2025-05-05 04:48:03,PayPal,Summer Bonanza,Pending
162,Margaret,Smith,jamespeterson@montgomery-garcia.com,kylesmith,RFL-1161,2025-05-04 20:46:03,PayPal,Spring Raffle,Pending
163,Scott,Davis,samanthadavis@gmail.com,kimberly57,RFL-1162,2025-04-12 01:25:03,Credit Card,Spring Raffle,Pending
164,Kristin,Mcgee,sergio44@lucero.org,erinreed,RFL-1163,2025-04-12 19:47:03,PayPal,Summer Bonanza,Cancelled
165,Richard,Sanders,patricia15@hotmail.com,ievans,RFL-1164,2025-05-03 18:06:03,PayPal,Summer Bonanza,Cancelled
166,Paul,Horn,alexander64@gmail.com,walexander,RFL-1165,2025-05-06 02:07:03,Stripe,Spring Raffle,Cancelled
167,Stephanie,Diaz,toddrichard@willis.com,richard55,RFL-1166,2025-04-27 20:10:03,Credit Card,Spring Raffle,Confirmed
168,Paul,Jackson,zimmermanhannah@gmail.com,carolcochran,RFL-1167,2025-05-07 04:53:03,Credit Card,Summer Bonanza,Pending
169,Kelly,Watson,elliottdennis@taylor.com,dchavez,RFL-1168,2025-04-14 19:03:03,PayPal,Winter Giveaway,Cancelled
170,Paul,Jackson,zimmermanhannah@gmail.com,carolcochran,RFL-1169,2025-05-11 08:36:03,Credit Card,Summer Bonanza,Cancelled
171,David,Jones,jeffery56@gmail.com,ericdavidson,RFL-1170,2025-04-26 14:24:03,Stripe,Winter Giveaway,Confirmed
172,Troy,Boyer,nicholasbrown@garcia.com,yenglish,RFL-1171,2025-04-25 04:24:03,Stripe,Spring Raffle,Cancelled
173,Cynthia,Chapman,amy08@perez.com,lopezmatthew,RFL-1172,2025-05-01 04:33:03,Stripe,Summer Bonanza,Cancelled
174,Patrick,Coffey,benjaminsmith@shaffer.org,bmartin,RFL-1173,2025-04-15 09:11:03,Credit Card,Summer Bonanza,Confirmed
175,Phillip,Ramirez,ksolis@yahoo.com,timothy63,RFL-1174,2025-04-20 13:35:03,Credit Card,Winter Giveaway,Confirmed
176,Russell,Brown,fjensen@hopkins.biz,rita07,RFL-1175,2025-04-25 00:19:03,PayPal,Winter Giveaway,Cancelled
177,Robert,Chavez,marydixon@vaughn.info,oburns,RFL-1176,2025-05-11 16:30:03,Stripe,Summer Bonanza,Confirmed
178,Johnathan,Jackson,williamcross@lang.info,jillianschroeder,RFL-1177,2025-05-09 21:10:03,Credit Card,Spring Raffle,Pending
179,Morgan,Marks,bbell@gmail.com,bblake,RFL-1178,2025-05-09 17:00:03,Stripe,Summer Bonanza,Pending
180,Phillip,Ramirez,ksolis@yahoo.com,timothy63,RFL-1179,2025-04-29 21:38:03,PayPal,Spring Raffle,Cancelled
181,Danielle,Davis,jeffreysolis@yahoo.com,gabrielabaldwin,RFL-1180,2025-04-19 13:12:03,PayPal,Winter Giveaway,Cancelled
182,Erik,Sloan,jonesteresa@hotmail.com,cynthia08,RFL-1181,2025-05-08 00:51:03,Stripe,Winter Giveaway,Confirmed
183,Richard,Harmon,ibrown@murphy.com,miranda33,RFL-1182,2025-04-27 11:00:03,Credit Card,Spring Raffle,Cancelled
184,Richard,Sanders,patricia15@hotmail.com,ievans,RFL-1183,2025-04-15 22:16:03,Credit Card,Spring Raffle,Confirmed
185,William,Anderson,wesley95@gmail.com,gdodson,RFL-1184,2025-04-17 11:09:03,Credit Card,Winter Giveaway,Cancelled
186,Joseph,Adkins,matthewmccormick@turner.biz,sthompson,RFL-1185,2025-04-24 12:37:03,Stripe,Winter Giveaway,Cancelled
187,Derek,Little,jensenbrian@hayes.com,mmiller,RFL-1186,2025-04-28 10:12:03,PayPal,Spring Raffle,Cancelled
188,Colin,Crawford,jacquelinejones@robinson-weber.com,adkinsrhonda,RFL-1187,2025-04-29 14:43:03,PayPal,Summer Bonanza,Cancelled
189,Patricia,Boyd,alewis@jones.com,smartin,RFL-1188,2025-05-06 21:05:03,Stripe,Summer Bonanza,Cancelled
190,George,Williams,david09@yahoo.com,leeashlee,RFL-1189,2025-04-29 06:43:03,Stripe,Winter Giveaway,Cancelled
191,Elizabeth,Flynn,diamondschmidt@arnold.info,xgrimes,RFL-1190,2025-05-06 21:14:03,Credit Card,Winter Giveaway,Cancelled
192,Susan,Marquez,reginald74@gmail.com,josephwest,RFL-1191,2025-05-03 20:29:03,PayPal,Summer Bonanza,Confirmed
193,Richard,Harmon,ibrown@murphy.com,miranda33,RFL-1192,2025-04-27 09:22:03,Stripe,Summer Bonanza,Confirmed
194,Margaret,Smith,amandawright@joseph.com,michaelmartin,RFL-1193,2025-04-12 06:41:03,Credit Card,Summer Bonanza,Cancelled
195,Robert,Tran,peterevans@yahoo.com,fritzlorraine,RFL-1194,2025-04-12 10:33:03,PayPal,Summer Bonanza,Cancelled
196,Kevin,Schmidt,vwalton@ryan.info,jamiesimmons,RFL-1195,2025-04-17 18:45:03,PayPal,Spring Raffle,Pending
197,Steven,Fields,josephsparks@bird.com,rodriguezsavannah,RFL-1196,2025-04-29 21:04:03,PayPal,Winter Giveaway,Pending
198,Cassandra,Swanson,chelseagraves@hotmail.com,leslie40,RFL-1197,2025-04-18 03:07:03,Stripe,Summer Bonanza,Confirmed
199,Russell,Brown,fjensen@hopkins.biz,rita07,RFL-1198,2025-04-27 22:04:03,Credit Card,Winter Giveaway,Confirmed
200,Paul,Jackson,zimmermanhannah@gmail.com,carolcochran,RFL-1199,2025-05-10 16:56:03,PayPal,Summer Bonanza,Pending
201,David,Morris,seanortiz@gmail.com,paullittle,RFL-1200,2025-04-19 07:57:03,Credit Card,Winter Giveaway,Confirmed
